Date,Euro-free,Euro-bank,Dollar-bank,Dollar-free,Gold
1396/05/16,45810,38695,32798,38150,1173030
1396/05/17,45820,38753,32811,38110,1176950
1396/05/18,45690,38501,32822,38110,1177180
1396/05/21,45600,38818,32844,38130,1190460
1396/05/22,44792,38818,32844,38033,1190000
1396/05/23,45570,38866,32859,38130,1191500
1396/05/24,45600,38742,32884,38160,1179490
1396/05/25,45550,38635,32911,38190,1176720
1396/05/28,45480,38230,32954,38763,1183650
1396/05/29,45380,38763,32954,38280,1185150
1396/05/30,45360,38764,32980,38290,1187800
1396/05/31,45420,38960,33003,38310,1186880
1396/06/01,45590,38872,33040,38320,1189650
1396/06/04,46410,39440,33090,38520,1206740
1396/06/05,46780,39440,33090,38590,1214820
1396/06/06,46800,39497,33127,38580,1219430
1396/06/07,47430,39694,33160,38610,1232360
1396/06/08,47340,39736,33169,38720,1226360
1396/06/11,47220,39433,33246,38820,1254520
1396/06/12,47410,39433,33246,38860,1265140
1396/06/13,47820,39520,33255,38810,1268610
1396/06/14,48170,39610,33266,38790,1258220
1396/06/15,48250,39665,33291,38900,1262140
1396/06/19,47760,40107,33320,39000,1263530
1396/06/20,47620,40077,33354,39010,1261220
1396/06/21,47650,39940,33393,39130,1256140
1396/06/22,47550,40046,33420,39200,1261220
1396/06/25,47220,39953,33450,39100,1244370
1396/06/26,47200,39953,33450,39010,1239290
1396/06/27,46990,39991,33485,38970,1230280
1396/06/28,47000,40112,33515,38930,1211350
1396/06/29,47140,40266,33530,38930,1223130
1396/07/01,47090,40156,33605,38940,1202120
1396/07/02,47070,40156,33605,38920,1211810
1396/07/03,47160,40157,33645,38990,1213660
1396/07/04,47130,39957,33699,39110,1215970
1396/07/05,47010,39783,33757,39060,1211350
1396/07/10,46870,39837,33834,39160,1206970
1396/07/11,46820,39682,33889,39180,1206040
1396/07/12,47130,39934,33942,39370,1215970
1396/07/15,47100,39944,34049,39580,1221740
1396/07/16,47460,39944,34049,39740,1233290
1396/07/17,47850,40008,34084,40250,1255670
1396/07/18,48300,40148,34117,40240,1256140
1396/07/19,47980,40302,34115,40080,1248060
1396/07/22,47330,40404,34179,40010,1243210
1396/07/23,48050,40404,34179,40050,1239510
1396/07/24,48030,40390,34209,40090,1245290
1396/07/25,47950,40334,34244,40100,1235590
1396/07/26,47980,40322,34273,40220,1227740
1396/07/29,47780,40443,34321,40160,1222200
1396/07/30,47880,40443,34321,40120,1217580
1396/08/01,47940,40429,34341,40120,1218970
1396/08/02,48150,40428,34363,40220,1226590
1396/08/03,48200,40470,34422,40280,1226590
1396/08/06,47830,40390,34789,40480,1234900
1396/08/07,48050,40390,34789,40690,1241130
1396/08/08,48050,40659,34954,40550,1239740
1396/08/09,47930,40560,34954,40659,1237900
1396/08/10,47940,40663,34965,40580,1239740
1396/08/13,47680,40643,34999,40530,1242750
1396/08/14,47800,40643,34999,40680,1240440
1396/08/15,47860,40701,35057,40720,1242750
1396/08/16,47820,40736,35099,40700,1242510
1396/08/17,47850,40769,35149,40740,1251520
1396/08/20,48050,41028,35190,40820,1248060
1396/08/21,48260,41028,35190,40930,1248290
1396/08/22,48600,41075,35249,41220,1263520
1396/08/23,48920,41145,35245,41180,1255210
1396/08/24,48990,41559,35240,41020,1261220
1396/08/27,47960,41511,35233,40771,1267680
1396/08/29,48177,41342,35232,40839,1266760
1396/08/30,48600,41364,35240,40930,1258440
1396/09/01,48850,41375,35238,41210,1270450
1396/09/04,49610,41990,35230,41260,1281070
1396/09/05,49630,41990,35230,41170,1278760
1396/09/07,49680,41956,35240,41250,1284760
1396/09/08,49950,41778,35251,41360,1295380
1396/09/11,50000,41951,35277,41490,1300000
1396/09/12,50530,41883,35291,41640,1301390
1396/09/13,50950,41883,35291,41840,1304620
1396/09/14,51180,41909,35304,42010,1310390
1396/09/18,50050,41714,35434,41970,1281760
1396/09/19,50380,41714,35434,42160,1288690
1396/09/20,50450,41811,35499,42120,1291460
1396/09/21,50450,41826,35539,42200,1284990
1396/09/22,50380,41832,35589,42200,1283610
1396/09/25,50030,41913,35659,41930,1280610
1396/09/26,50040,41913,35659,41810,1279920
1396/09/27,50000,41989,35699,41850,1279680
1396/09/28,50110,42143,35750,41920,1287070
1396/09/29,50130,42346,35760,41860,1286840
1396/10/02,50170,42596,35909,41860,1295380
1396/10/03,50300,42596,35909,41940,1299310
1396/10/04,50330,42632,35958,41850,1296770
1396/10/05,50260,42726,35998,41870,1299540
1396/10/06,50330,42751,36039,41940,1311540
1396/10/09,51180,43273,36064,42110,1330940
1396/10/10,52450,43273,36064,42680,1348250
1396/10/11,54350,43289,36059,43080,1371570
1396/10/12,54500,43320,36057,43380,1386110
