Name,Date,Open,Close,Volume,OpenInt
Iran Ind. Dev.-a,20010408,521.64,521.64,4800,4800000.00
Iran Ind. Dev.-a,20010409,521.64,521.64,5200,5200000.00
Iran Ind. Dev.-a,20010410,521.64,521.64,4500,4500000.00
Iran Ind. Dev.-a,20010411,521.64,521.64,5500,5500000.00
Iran Ind. Dev.-a,20010414,521.64,521.64,4000,4000000.00
Iran Ind. Dev.-a,20010415,521.64,521.64,6000,6000000.00
Iran Ind. Dev.-a,20010416,521.64,521.64,4000,4000000.00
Iran Ind. Dev.-a,20010417,521.64,521.64,4500,4500000.00
Iran Ind. Dev.-a,20010418,521.64,521.64,16500,16500000.00
Iran Ind. Dev.-a,20010421,521.64,521.64,3900,3900000.00
Iran Ind. Dev.-a,20010422,521.64,521.64,4800,4800000.00
Iran Ind. Dev.-a,20010423,521.64,521.64,5200,5200000.00
Iran Ind. Dev.-a,20010424,521.64,521.64,17870,17870000.00
Iran Ind. Dev.-a,20010425,521.64,521.64,5100,5100000.00
Iran Ind. Dev.-a,20010428,521.64,521.64,5423,5423000.00
Iran Ind. Dev.-a,20010429,521.64,521.64,5100,5100000.00
Iran Ind. Dev.-a,20010502,521.64,521.64,14957,14957000.00
Iran Ind. Dev.-a,20010506,521.64,521.64,5500,5500000.00
Iran Ind. Dev.-a,20010507,521.64,521.64,379,379000.00
Iran Ind. Dev.-a,20010508,521.64,521.64,100,100000.00
Iran Ind. Dev.-a,20010512,521.64,521.64,6000,6000000.00
Iran Ind. Dev.-a,20010515,521.64,521.64,1200,1200000.00
Iran Ind. Dev.-a,20010521,521.64,521.64,30,30000.00
Iran Ind. Dev.-a,20010527,521.64,521.64,25752,25752000.00
Iran Ind. Dev.-a,20010528,521.64,521.64,13990,13990000.00
Iran Ind. Dev.-a,20010529,521.64,521.64,15000,15000000.00
Iran Ind. Dev.-a,20010530,521.64,521.64,790,790000.00
Iran Ind. Dev.-a,20010602,521.64,521.64,70828,70828000.00
Iran Ind. Dev.-a,20010603,521.64,521.64,8000,8000000.00
Iran Ind. Dev.-a,20010606,521.64,521.64,27600,27600000.00
Iran Ind. Dev.-a,20010609,521.64,521.64,9000,9000000.00
Iran Ind. Dev.-a,20010611,521.64,521.64,263791,263791000.00
Iran Ind. Dev.-a,20010612,521.64,521.64,100000,100000000.00
Iran Ind. Dev.-a,20010613,521.64,521.64,2615,2615000.00
Iran Ind. Dev.-a,20010618,521.64,521.64,34625,34625000.00
Iran Ind. Dev.-a,20010619,521.64,521.64,2480,2480000.00
Iran Ind. Dev.-a,20010620,521.64,521.64,102559,102559000.00
Iran Ind. Dev.-a,20010623,521.64,521.64,59812,59812000.00
Iran Ind. Dev.-a,20010624,521.64,521.64,4837,4837000.00
Iran Ind. Dev.-a,20010625,521.64,521.64,70180,70180000.00
Iran Ind. Dev.-a,20010626,521.64,521.64,2242,2242000.00
Iran Ind. Dev.-a,20010701,521.64,521.64,46186,46186000.00
Iran Ind. Dev.-a,20010702,521.64,521.64,2310,2310000.00
Iran Ind. Dev.-a,20010703,521.64,521.64,7053,7053000.00
Iran Ind. Dev.-a,20010704,521.64,521.64,12819,12819000.00
Iran Ind. Dev.-a,20010707,521.64,521.64,19506,19506000.00
Iran Ind. Dev.-a,20010708,521.64,521.64,14834,14834000.00
Iran Ind. Dev.-a,20010709,521.64,521.64,17656,17656000.00
Iran Ind. Dev.-a,20010710,521.64,521.64,19542,19542000.00
Iran Ind. Dev.-a,20010711,521.64,521.64,36200,36200000.00
Iran Ind. Dev.-a,20010714,521.64,521.64,26300,26300000.00
Iran Ind. Dev.-a,20010715,521.64,521.64,40000,40000000.00
Iran Ind. Dev.-a,20010716,521.64,521.64,10250,10250000.00
Iran Ind. Dev.-a,20010717,521.64,521.64,1000,1000000.00
Iran Ind. Dev.-a,20010718,521.64,521.64,50000,50000000.00
Iran Ind. Dev.-a,20010721,521.64,521.64,11541,11541000.00
Iran Ind. Dev.-a,20010722,521.64,521.64,6728,6728000.00
Iran Ind. Dev.-a,20010723,521.64,521.64,12000,12000000.00
Iran Ind. Dev.-a,20010724,521.64,521.64,1000,1000000.00
Iran Ind. Dev.-a,20010725,521.64,521.64,19466,19466000.00
Iran Ind. Dev.-a,20010728,521.64,521.64,4962,4962000.00
Iran Ind. Dev.-a,20010729,521.64,521.64,935,935000.00
Iran Ind. Dev.-a,20010730,521.64,521.64,2800,2800000.00
Iran Ind. Dev.-a,20010731,521.64,521.64,370,370000.00
Iran Ind. Dev.-a,20010801,521.64,521.64,10000,10000000.00
Iran Ind. Dev.-a,20010804,521.64,521.64,15352,15352000.00
